ndTE,work,cost,LSF,motion,comboName,m,K,LSF,LE
0.037699,0.169314,69.087542,LSF_1,vertical,m010k010,1,1,1,0
0.036998,0.168018,69.739879,LSF_1,vertical,m010k010,1,1,1,0
0.035936,0.163891,65.663332,LSF_1,vertical,m010k010,1,1,1,0
0.03594,0.16589,70.45541,LSF_1,vertical,m010k010,1,1,1,0
0.038326,0.164577,65.59275,LSF_1,vertical,m010k010,1,1,1,0
0.037802,0.16679,73.131551,LSF_1,vertical,m010k010,1,1,1,0
0.038592,0.166251,63.80429,LSF_1,vertical,m010k010,1,1,1,0
0.036854,0.164884,64.420059,LSF_1,vertical,m010k010,1,1,1,0
0.037247,0.167967,67.395519,LSF_1,vertical,m010k010,1,1,1,0
0.03798,0.163877,66.210558,LSF_1,vertical,m010k010,1,1,1,0
0.037929,0.165075,62.725447,LSF_1,vertical,m010k010,1,1,1,0
0.038209,0.165037,71.152985,LSF_1,vertical,m010k010,1,1,1,0
0.037191,0.166705,66.232917,LSF_1,vertical,m010k010,1,1,1,0
0.038516,0.167423,66.023645,LSF_1,vertical,m010k010,1,1,1,0
0.038171,0.165775,66.234274,LSF_1,vertical,m010k010,1,1,1,0
0.036519,0.168047,65.506008,LSF_1,vertical,m010k010,1,1,1,0
0.037401,0.169379,65.017768,LSF_1,vertical,m010k010,1,1,1,0
0.037751,0.163718,66.751957,LSF_1,vertical,m010k010,1,1,1,0
0.037828,0.162396,64.284631,LSF_1,vertical,m010k010,1,1,1,0
0.038396,0.164947,62.317999,LSF_1,vertical,m010k010,1,1,1,0
0.040319,0.1581,64.18098,LSF_1,vertical,m010k100,1,10,1,0
0.042612,0.167746,65.247987,LSF_1,vertical,m010k100,1,10,1,0
0.036382,0.15998,65.602538,LSF_1,vertical,m010k100,1,10,1,0
0.039874,0.164934,65.261006,LSF_1,vertical,m010k100,1,10,1,0
0.036521,0.162773,64.495913,LSF_1,vertical,m010k100,1,10,1,0
0.039774,0.161552,60.97957,LSF_1,vertical,m010k100,1,10,1,0
0.037023,0.161666,66.565995,LSF_1,vertical,m010k100,1,10,1,0
0.03842,0.159895,60.697335,LSF_1,vertical,m010k100,1,10,1,0
0.040267,0.161401,61.199325,LSF_1,vertical,m010k100,1,10,1,0
0.039524,0.158959,59.872522,LSF_1,vertical,m010k100,1,10,1,0
0.039213,0.15999,65.932654,LSF_1,vertical,m010k100,1,10,1,0
0.040664,0.161358,65.645796,LSF_1,vertical,m010k100,1,10,1,0
0.037129,0.163481,63.746179,LSF_1,vertical,m010k100,1,10,1,0
0.035506,0.162616,66.984276,LSF_1,vertical,m010k100,1,10,1,0
0.039298,0.163431,79.262073,LSF_1,vertical,m010k100,1,10,1,0
0.038024,0.15839,61.585169,LSF_1,vertical,m010k100,1,10,1,0
0.037565,0.162514,70.202873,LSF_1,vertical,m010k100,1,10,1,0
0.040401,0.166065,62.962431,LSF_1,vertical,m010k100,1,10,1,0
0.039195,0.163867,61.908973,LSF_1,vertical,m010k100,1,10,1,0
0.037546,0.162375,67.84422,LSF_1,vertical,m010k100,1,10,1,0
0.036451,0.159381,66.301922,LSF_1,vertical,m010k100,1,10,1,0
0.038014,0.159281,61.93454,LSF_1,vertical,m010k100,1,10,1,0
0.039079,0.163976,61.209365,LSF_1,vertical,m010k100,1,10,1,0
0.036542,0.160372,65.104439,LSF_1,vertical,m010k100,1,10,1,0
0.040216,0.165263,68.051194,LSF_1,vertical,m010k100,1,10,1,0
0.036826,0.158938,62.999478,LSF_1,vertical,m010k100,1,10,1,0
0.036164,0.159182,61.60654,LSF_1,vertical,m010k100,1,10,1,0
0.035281,0.157976,67.70195,LSF_1,vertical,m010k100,1,10,1,0
0.037649,0.158721,60.611649,LSF_1,vertical,m010k100,1,10,1,0
0.038452,0.165225,70.353093,LSF_1,vertical,m010k100,1,10,1,0
0.03828,0.164052,71.410491,LSF_1,vertical,m010k100,1,10,1,0
0.037728,0.164679,65.934474,LSF_1,vertical,m010k100,1,10,1,0
0.036142,0.162992,63.441384,LSF_1,vertical,m010k100,1,10,1,0
0.039976,0.16607,64.025546,LSF_1,vertical,m010k100,1,10,1,0
0.039022,0.164326,65.175456,LSF_1,vertical,m010k100,1,10,1,0
0.036368,0.162106,64.354941,LSF_1,vertical,m010k100,1,10,1,0
0.037642,0.159317,64.306066,LSF_1,vertical,m010k100,1,10,1,0
0.038266,0.165938,65.166002,LSF_1,vertical,m010k100,1,10,1,0
0.037188,0.158782,60.773321,LSF_1,vertical,m010k100,1,10,1,0
0.036293,0.163178,70.925405,LSF_1,vertical,m010k100,1,10,1,0
0.018639,0.265209,132.875913,LSF_1,vertical,m100k001,10,0.1,1,0
0.018027,0.258919,131.227907,LSF_1,vertical,m100k001,10,0.1,1,0
0.018088,0.265178,134.76767,LSF_1,vertical,m100k001,10,0.1,1,0
0.018804,0.26827,134.7426,LSF_1,vertical,m100k001,10,0.1,1,0
0.017598,0.26791,133.901279,LSF_1,vertical,m100k001,10,0.1,1,0
0.019672,0.272867,132.775881,LSF_1,vertical,m100k001,10,0.1,1,0
0.01742,0.259713,134.050097,LSF_1,vertical,m100k001,10,0.1,1,0
0.019049,0.262084,133.828152,LSF_1,vertical,m100k001,10,0.1,1,0
0.017956,0.261773,133.132932,LSF_1,vertical,m100k001,10,0.1,1,0
0.018516,0.263167,132.855897,LSF_1,vertical,m100k001,10,0.1,1,0
0.018301,0.271088,137.498836,LSF_1,vertical,m100k001,10,0.1,1,0
0.017631,0.26213,135.267864,LSF_1,vertical,m100k001,10,0.1,1,0
0.019299,0.26291,128.67812,LSF_1,vertical,m100k001,10,0.1,1,0
