ndTE,work,cost,LSF,motion,comboName,m,K,LSF,LE
0.075664,0.000143,269.134177,LSF_1,hover,m_10_K_1,10,1,1,0
0.080878,0.00015,273.519525,LSF_1,hover,m_10_K_1,10,1,1,0
0.067129,0.00015,312.047792,LSF_1,hover,m_10_K_1,10,1,1,0
0.080443,0.000139,263.928317,LSF_1,hover,m_10_K_1,10,1,1,0
0.071414,0.000141,285.354889,LSF_1,hover,m_10_K_10,10,10,1,0
0.073062,0.000145,292.79592,LSF_1,hover,m_10_K_10,10,10,1,0
0.066932,0.000147,312.27688,LSF_1,hover,m_10_K_10,10,10,1,0
0.072881,0.000146,283.372243,LSF_1,hover,m_10_K_10,10,10,1,0
0.069435,0.000147,291.400505,LSF_1,hover,m_10_K_10,10,10,1,0
0.06351,0.000157,334.474476,LSF_1,hover,m_10_K_10,10,10,1,0
0.06627,0.000154,329.66444,LSF_1,hover,m_10_K_10,10,10,1,0
0.073787,0.000145,300.445136,LSF_1,hover,m_10_K_10,10,10,1,0
0.067467,0.000155,303.463686,LSF_1,hover,m_10_K_10,10,10,1,0
