ndTE,work,cost,abdominal_mass,spring_constant,length_scale,petiole_length
0.628654,0.000188,42.56801,0.1,10.0,1.0,0.0
0.657048,0.000194,40.94252,0.1,10.0,1.0,0.0
0.670585,0.000198,41.716094,0.1,10.0,1.0,0.0
0.626429,0.000198,44.870882,0.1,10.0,1.0,0.0
0.67161,0.000197,44.317021999999994,0.1,10.0,1.0,0.0
0.66195,0.000207,41.926755,0.1,10.0,1.0,0.0
0.705961,0.000206,40.373385,0.1,10.0,1.0,0.0
0.701263,0.000195,39.407176,0.1,10.0,1.0,0.0
0.6798489999999999,0.000199,39.287953,0.1,10.0,1.0,0.0
0.653837,0.000194,43.881195,0.1,10.0,1.0,0.0
0.63467,0.000192,40.978291999999996,0.1,10.0,1.0,0.0
0.6631670000000001,0.000195,39.490121,0.1,10.0,1.0,0.0
0.6025189999999999,0.000192,37.925553,0.1,10.0,1.0,0.0
0.625456,0.00018899999999999999,42.327814000000004,0.1,10.0,1.0,0.0
0.6231359999999999,0.000188,43.178074,0.1,10.0,1.0,0.0
0.710464,0.0002,38.800292,0.1,10.0,1.0,0.0
0.211808,0.000154,102.065055,1.0,0.1,1.0,0.0
0.215621,0.000151,96.09186700000001,1.0,0.1,1.0,0.0
0.2057,0.000152,103.264447,1.0,0.1,1.0,0.0
0.20655199999999999,0.00015,104.93159299999999,1.0,0.1,1.0,0.0
0.204207,0.000147,107.114147,1.0,0.1,1.0,0.0
0.20419500000000002,0.000147,104.90805800000001,1.0,0.1,1.0,0.0
0.21746100000000002,0.000153,99.193122,1.0,0.1,1.0,0.0
0.215574,0.000153,107.95213100000001,1.0,0.1,1.0,0.0
0.21415599999999999,0.000154,97.202414,1.0,0.1,1.0,0.0
0.21207199999999998,0.000154,103.223034,1.0,0.1,1.0,0.0
0.229321,0.00015900000000000002,116.35329499999999,1.0,0.1,1.0,0.0
0.197072,0.000147,110.19905,1.0,0.1,1.0,0.0
0.221671,0.000152,104.060287,1.0,0.1,1.0,0.0
0.202576,0.000148,106.370153,1.0,0.1,1.0,0.0
0.20463499999999998,0.000152,119.399049,1.0,0.1,1.0,0.0
0.215527,0.00015,98.06071999999999,1.0,0.1,1.0,0.0
0.205969,0.000148,108.284821,1.0,0.1,1.0,0.0
0.20784499999999997,0.00015,104.759472,1.0,0.1,1.0,0.0
0.21410700000000002,0.000155,107.260451,1.0,0.1,1.0,0.0
0.21552,0.000153,103.690912,1.0,0.1,1.0,0.0
0.20363599999999998,0.000145,106.04025800000001,1.0,0.1,1.0,0.0
0.203092,0.000151,101.146704,1.0,0.1,1.0,0.0
0.203266,0.000155,104.424764,1.0,0.1,1.0,0.0
0.21809800000000001,0.000156,103.24034499999999,1.0,0.1,1.0,0.0
0.21621100000000001,0.000151,101.032211,1.0,0.1,1.0,0.0
0.204034,0.000149,101.41788100000001,1.0,0.1,1.0,0.0
0.201648,0.000146,104.94280900000001,1.0,0.1,1.0,0.0
0.189638,0.000151,108.192291,1.0,0.1,1.0,0.0
0.206177,0.000154,111.203022,1.0,0.1,1.0,0.0
0.20804699999999998,0.000147,101.60945799999999,1.0,0.1,1.0,0.0
0.19759000000000002,0.000148,104.84461800000001,1.0,0.1,1.0,0.0
0.22267699999999999,0.00015,109.22703999999999,1.0,0.1,1.0,0.0
0.211223,0.000152,106.42591399999999,1.0,0.1,1.0,0.0
0.20866500000000002,0.000148,102.64019300000001,1.0,0.1,1.0,0.0
0.21270999999999998,0.000155,107.411957,1.0,0.1,1.0,0.0
0.200024,0.000156,106.73220400000001,1.0,0.1,1.0,0.0
0.203773,0.000152,111.909341,1.0,0.1,1.0,0.0
0.20679099999999997,0.000151,102.929203,1.0,0.1,1.0,0.0
0.21397,0.000151,96.212776,1.0,0.1,1.0,0.0
0.207069,0.000155,107.46047,1.0,0.1,1.0,0.0
0.207208,0.000145,98.972791,1.0,1.0,1.0,0.0
0.217171,0.000146,113.32749,1.0,1.0,1.0,0.0
0.19434300000000002,0.000149,105.54063400000001,1.0,1.0,1.0,0.0
0.206092,0.00015,97.482537,1.0,1.0,1.0,0.0
0.21215599999999998,0.000153,100.956683,1.0,1.0,1.0,0.0
0.22350599999999998,0.000153,94.487502,1.0,1.0,1.0,0.0
0.219915,0.00015,103.73139499999999,1.0,1.0,1.0,0.0
0.222063,0.00015,94.757114,1.0,1.0,1.0,0.0
0.200914,0.000152,113.56386599999999,1.0,1.0,1.0,0.0
0.21342399999999997,0.000151,96.569024,1.0,1.0,1.0,0.0
0.21928499999999998,0.000157,104.552663,1.0,1.0,1.0,0.0
0.207774,0.000153,101.695724,1.0,1.0,1.0,0.0
0.210835,0.000152,104.665563,1.0,1.0,1.0,0.0
0.20376,0.000151,101.85707,1.0,1.0,1.0,0.0
0.21442399999999998,0.000151,105.907026,1.0,1.0,1.0,0.0
0.21311,0.000152,102.74525200000001,1.0,1.0,1.0,0.0
0.214991,0.000149,96.990873,1.0,1.0,1.0,0.0
0.22281399999999998,0.000156,98.17796,1.0,1.0,1.0,0.0
0.20719400000000002,0.000156,107.936771,1.0,1.0,1.0,0.0
0.204895,0.000144,106.61573100000001,1.0,1.0,1.0,0.0
0.21904,0.000153,110.01657900000001,1.0,1.0,1.0,0.0
0.201695,0.00015,113.138056,1.0,1.0,1.0,0.0
0.211654,0.000148,101.551147,1.0,1.0,1.0,0.0
0.20903400000000003,0.000151,109.40311499999999,1.0,1.0,1.0,0.0
0.210668,0.000144,97.975664,1.0,1.0,1.0,0.0
0.214707,0.000154,104.985611,1.0,1.0,1.0,0.0
0.208031,0.00015,98.142768,1.0,1.0,1.0,0.0
0.21179099999999998,0.000147,97.325013,1.0,1.0,1.0,0.0
0.20632899999999998,0.000147,94.928441,1.0,1.0,1.0,0.0
0.198108,0.000149,102.57204399999999,1.0,1.0,1.0,0.0
0.215313,0.000156,108.519899,1.0,1.0,1.0,0.0
0.195712,0.000151,104.04269000000001,1.0,1.0,1.0,0.0
0.18981800000000001,0.000151,112.670606,1.0,1.0,1.0,0.0
0.227729,0.000151,99.7363,1.0,1.0,1.0,0.0
0.20848699999999998,0.000144,106.398182,1.0,1.0,1.0,0.0
0.210562,0.000153,96.55069300000001,1.0,1.0,1.0,0.0
0.205184,0.000151,111.666677,1.0,1.0,1.0,0.0
0.21329099999999998,0.00015,98.235958,1.0,1.0,1.0,0.0
0.207348,0.00015,105.936282,1.0,1.0,1.0,0.0
0.213457,0.000151,102.58680600000001,1.0,1.0,1.0,0.0
0.21406599999999998,0.000149,117.57608400000001,1.0,10.0,1.0,0.0
0.196596,0.000144,112.124365,1.0,10.0,1.0,0.0
0.215148,0.000148,101.595557,1.0,10.0,1.0,0.0
0.20892399999999997,0.000149,97.169302,1.0,10.0,1.0,0.0
0.224555,0.000149,97.799252,1.0,10.0,1.0,0.0
0.20749099999999998,0.000149,96.187003,1.0,10.0,1.0,0.0
0.19780999999999999,0.000143,104.708151,1.0,10.0,1.0,0.0
0.200741,0.000144,96.753842,1.0,10.0,1.0,0.0
0.210954,0.00015,102.995812,1.0,10.0,1.0,0.0
0.20495700000000003,0.000149,97.090648,1.0,10.0,1.0,0.0
0.20600000000000002,0.000144,105.62678400000001,1.0,10.0,1.0,0.0
0.201073,0.000144,103.265281,1.0,10.0,1.0,0.0
0.212961,0.000154,114.64501100000001,1.0,10.0,1.0,0.0
0.194492,0.000146,114.37323300000001,1.0,10.0,1.0,0.0
0.213711,0.000149,99.289528,1.0,10.0,1.0,0.0
0.206366,0.000143,98.575137,1.0,10.0,1.0,0.0
0.200455,0.000144,98.866996,1.0,10.0,1.0,0.0
0.195659,0.000147,101.641914,1.0,10.0,1.0,0.0
0.207688,0.00014199999999999998,104.675801,1.0,10.0,1.0,0.0
0.19559200000000002,0.000145,106.493674,1.0,10.0,1.0,0.0
0.19497799999999998,0.00014199999999999998,94.143123,1.0,10.0,1.0,0.0
0.21545999999999998,0.000146,92.574268,1.0,10.0,1.0,0.0
0.214267,0.000151,106.821913,1.0,10.0,1.0,0.0
0.19530699999999998,0.000149,107.824297,1.0,10.0,1.0,0.0
0.20741700000000002,0.000149,96.471098,1.0,10.0,1.0,0.0
0.204347,0.000149,97.030402,1.0,10.0,1.0,0.0
0.200522,0.000148,98.680941,1.0,10.0,1.0,0.0
0.21183000000000002,0.000148,98.43068000000001,1.0,10.0,1.0,0.0
0.20921700000000001,0.000148,102.42045,1.0,10.0,1.0,0.0
0.20341700000000001,0.000144,109.490778,1.0,10.0,1.0,0.0
0.197958,0.000143,105.522038,1.0,10.0,1.0,0.0
0.21185700000000002,0.000145,89.02029499999999,1.0,10.0,1.0,0.0
