Tracking_Error,abdo_mass,length_scale,petiole_length,torsional_spring
0.127827,0.1,1.0,0.0,10.0
0.110873,0.1,1.0,0.0,10.0
0.12403800000000001,0.1,1.0,0.0,10.0
0.11942699999999999,0.1,1.0,0.0,10.0
0.117075,0.1,1.0,0.0,10.0
0.127376,0.1,1.0,0.0,10.0
0.111542,0.1,1.0,0.0,10.0
0.11693599999999998,0.1,1.0,0.0,10.0
0.11561700000000001,0.1,1.0,0.0,10.0
0.119174,0.1,1.0,0.0,10.0
0.121387,0.1,1.0,0.0,10.0
0.11556099999999998,0.1,1.0,0.0,10.0
0.039318,1.0,1.0,0.0,0.1
0.038064999999999995,1.0,1.0,0.0,0.1
0.040820999999999996,1.0,1.0,0.0,0.1
0.03776,1.0,1.0,0.0,0.1
0.037192,1.0,1.0,0.0,0.1
0.037616000000000004,1.0,1.0,0.0,0.1
0.038325,1.0,1.0,0.0,0.1
0.041063,1.0,1.0,0.0,0.1
0.037231,1.0,1.0,0.0,0.1
0.037103,1.0,1.0,0.0,0.1
0.038945,1.0,1.0,0.0,0.1
0.034259,1.0,1.0,0.0,0.1
0.041038,1.0,1.0,0.0,0.1
0.039228,1.0,1.0,0.0,0.1
0.038743,1.0,1.0,0.0,0.1
0.040167,1.0,1.0,0.0,0.1
0.037587999999999996,1.0,1.0,0.0,0.1
0.037675,1.0,1.0,0.0,0.1
0.036636,1.0,1.0,0.0,0.1
0.037322,1.0,1.0,0.0,0.1
0.037148,1.0,1.0,0.0,0.1
0.039538,1.0,1.0,0.0,0.1
0.037645,1.0,1.0,0.0,0.1
0.039464,1.0,1.0,0.0,0.1
0.038333,1.0,1.0,0.0,0.1
0.040643,1.0,1.0,0.0,0.1
0.037827,1.0,1.0,0.0,0.1
0.037879,1.0,1.0,0.0,0.1
0.036811,1.0,1.0,0.0,0.1
0.039585,1.0,1.0,0.0,0.1
0.037951,1.0,1.0,0.0,0.1
0.038838,1.0,1.0,0.0,0.1
0.038976,1.0,1.0,0.0,0.1
